year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow,symbol
Mar 2018,"8,328","-2,236","-5,714",378,HCLTECH
Mar 2019,"8,971","-3,256","-1,471","4,244",HCLTECH
Mar 2020,"13,359","-12,332","-3,168","-2,141",HCLTECH
Mar 2021,"19,618","-5,665","-11,192","2,761",HCLTECH
Mar 2022,"16,900","1,597","-14,508","3,989",HCLTECH
Mar 2011,-960,-553,"1,274",-240,HDFCBANK
Mar 2012,"-19,381",-662,"11,380","-8,663",HDFCBANK
Mar 2013,"-5,847",-902,"13,105","6,356",HDFCBANK
Mar 2014,"4,211","-1,099","9,270","12,382",HDFCBANK
Mar 2015,"-21,281",-800,"18,694","-3,387",HDFCBANK
Mar 2016,"-34,435",-837,"37,815","2,542",HDFCBANK
Mar 2017,"17,282","-1,146","-5,893","10,242",HDFCBANK
Mar 2018,"17,214",-842,"57,378","73,750",HDFCBANK
Mar 2019,"-62,872","-1,503","23,131","-41,244",HDFCBANK
Mar 2020,"-16,869","-1,403","24,394","6,122",HDFCBANK
Mar 2021,"42,476","-1,823","-7,321","33,332",HDFCBANK
Mar 2022,"-11,960","-2,051","48,124","34,113",HDFCBANK
Mar 2013,,,,,HDFCLIFE
Mar 2014,,,,,HDFCLIFE
Mar 2015,"4,459","-3,514",-168,777,HDFCLIFE
Mar 2016,"5,687","-3,962",-212,"1,513",HDFCLIFE
Mar 2017,"6,230","-5,177",-236,817,HDFCLIFE
Mar 2018,"6,739","-4,421",-196,"2,122",HDFCLIFE
Mar 2019,"9,868","-10,182",-337,-651,HDFCLIFE
Mar 2020,"7,388","-7,789",38,-364,HDFCLIFE
Mar 2021,"9,703","-8,952",678,"1,429",HDFCLIFE
Mar 2022,"5,943","-1,580",-238,"4,125",HDFCLIFE
Mar 2014,"2,963","-1,616","-1,414",-66,HEROMOTOCO
Mar 2015,"2,186",31,"-2,131",86,HEROMOTOCO
