quarter,promoter,fiis,diis,public,government,other,symbol
Sep 2020,14.68,51.81,17.24,16.27,0,,INDUSINDBK
Dec 2020,14.67,54.93,16.2,14.21,0,,INDUSINDBK
Mar 2021,16.55,50.91,18.11,14.43,0,,INDUSINDBK
Jun 2021,16.54,52.05,17.74,13.66,0,,INDUSINDBK
Sep 2021,16.54,51.44,18.97,13.05,0,,INDUSINDBK
Dec 2021,16.53,47.65,20.22,15.6,0,,INDUSINDBK
Mar 2022,16.52,46.33,21.85,15.3,0,,INDUSINDBK
Jun 2022,16.51,45.83,21.02,16.63,0,,INDUSINDBK
Sep 2022,16.51,46.97,22.24,13.93,0.37,,INDUSINDBK
Dec 2019,13.15,31.76,23.99,30.66,0,0.44,INFY
Mar 2020,13.15,31.01,24.68,30.73,0,0.43,INFY
Jun 2020,13.15,30.47,25.43,30.53,0,0.42,INFY
Sep 2020,12.95,31.31,24.97,30.37,0,0.4,INFY
Dec 2020,12.95,32.26,23.75,30.66,0,0.38,INFY
Mar 2021,12.95,32.67,23.1,30.92,0,0.36,INFY
Jun 2021,12.95,33.39,21.98,31.32,0,0.36,INFY
Sep 2021,13.12,33.46,15.66,37.41,0,0.35,INFY
Dec 2021,13.12,33.17,16.31,37.06,0,0.34,INFY
Mar 2022,13.11,33.3,17.1,36.16,0,0.33,INFY
Jun 2022,13.11,31.72,18.88,35.98,0,0.31,INFY
Sep 2022,15.16,36.2,32.13,15.93,0.18,0.35,INFY
Dec 2019,42.33,17.64,4.11,34.79,0.51,0.62,JSWSTEEL
Mar 2020,42.71,17.13,4.39,34.65,0.51,0.61,JSWSTEEL
Jun 2020,43.07,15.35,4.93,35.54,0.51,0.61,JSWSTEEL
Sep 2020,44.07,13.34,5.84,35.69,0.51,0.54,JSWSTEEL
Dec 2020,44.07,13.31,6.29,35.31,0.51,0.5,JSWSTEEL
Mar 2021,44.07,12.69,7.11,35.15,0.51,0.47,JSWSTEEL
Jun 2021,44.07,12.93,7.16,34.92,0.51,0.41,JSWSTEEL
Sep 2021,44.09,12.17,8.06,34.8,0.51,0.37,JSWSTEEL
Dec 2021,44.72,11.21,8.38,34.85,0.51,0.33,JSWSTEEL
Mar 2022,45.01,11.58,7.94,34.65,0.51,0.31,JSWSTEEL
Jun 2022,45.02,10.61,9.07,34.14,0.51,0.65,JSWSTEEL
Sep 2022,45.2,10.75,9.25,33.7,0.51,0.6,JSWSTEEL
Dec 2019,29.96,39.75,12.38,17.92,,,KOTAKBANK
Mar 2020,29.92,39.17,12.64,18.26,,,KOTAKBANK
Jun 2020,26.07,42.15,15.27,16.51,,,KOTAKBANK
Sep 2020,26.05,42.23,15.26,16.46,,,KOTAKBANK
Dec 2020,26.03,45.09,12.92,15.96,,,KOTAKBANK
Mar 2021,26.02,44.23,13.53,16.22,,,KOTAKBANK
Jun 2021,26,42.77,14.62,16.61,,,KOTAKBANK
Sep 2021,26,42.58,15.29,16.13,,,KOTAKBANK
Dec 2021,25.99,42.06,15.49,16.46,,,KOTAKBANK
Mar 2022,25.98,40.86,16.6,16.56,,,KOTAKBANK
Jun 2022,25.97,40.55,17.29,16.2,,,KOTAKBANK
Sep 2022,25.96,40.92,19.96,13.16,,,KOTAKBANK
Dec 2019,18.78,37.42,0.29,43.51,,,LT
Mar 2020,16.9,37.99,0.38,44.72,,,LT
Jun 2020,18.77,36.05,0.5,44.67,,,LT
Sep 2020,17.89,35.55,0.5,46.06,,,LT
Dec 2020,21.11,33.3,0.5,45.09,,,LT
Mar 2021,22.02,33.19,0.5,44.29,,,LT
Jun 2021,22.88,32.75,0.23,44.14,,,LT
Sep 2021,22.86,33.11,0.23,43.8,,,LT
Dec 2021,23.24,32.71,0.23,43.82,,,LT
Mar 2022,22.42,33.49,0.23,43.86,,,LT
Jun 2022,21.09,34.61,0.23,44.07,,,LT
Sep 2022,22.12,40.49,0.23,37.17,,,LT
Dec 2019,19.87,33.96,27.81,13.8,0.17,4.39,M&M
Mar 2020,19.89,33.88,28.12,13.58,0.17,4.35,M&M
Jun 2020,19.6,34.61,29.34,11.95,0.24,4.25,M&M
Sep 2020,19.58,34.72,30.68,10.56,0.24,4.22,M&M
Dec 2020,19.44,37.9,28.24,10.02,0.24,4.15,M&M
Mar 2021,19.45,38.93,27.35,9.91,0.24,4.12,M&M
Jun 2021,19.46,40.05,26.12,10.2,0.07,4.1,M&M
Sep 2021,19.46,38.92,27.08,10.4,0.07,4.07,M&M
Dec 2021,19.47,38.66,27.81,9.95,0.07,4.03,M&M
Mar 2022,19.47,37.3,28.78,10.4,0.07,3.97,M&M
Jun 2022,19.45,37.94,28.93,9.66,0.07,3.95,M&M
Sep 2022,19.38,38.27,28.5,9.83,0.07,3.92,M&M
Dec 2019,56.21,23.18,15.61,5,0,,MARUTI
Mar 2020,56.28,21.63,16.69,5.4,0,,MARUTI
Jun 2020,56.28,21.47,17.06,5.19,0,,MARUTI
Sep 2020,56.37,21.86,16.75,5.02,0,,MARUTI
Dec 2020,56.37,23.09,15.66,4.88,0,,MARUTI
Mar 2021,56.37,23.11,15.08,5.44,0,,MARUTI
Jun 2021,56.37,22.9,15.76,4.97,0,,MARUTI
Sep 2021,56.37,22.52,15.98,5.13,0,,MARUTI
Dec 2021,56.37,23.6,15.29,4.74,0,,MARUTI
Mar 2022,56.37,22.57,16.25,4.81,0,,MARUTI
Jun 2022,56.37,21.89,18.01,3.73,0,,MARUTI
